file_name,file_name_length,file_size,file_extension,entropy,entropy_mean,entropy_std,compression_ratio,zero_byte_ratio,label,variant
docu3.docx,10,9926,.docx,6.870281268757231,6.7916888552521675,0.47272556563483953,0.7352407817852106,0.23181543421317752,CLEAN,
DAT3.pptx,9,1198749,.pptx,7.822881906560001,7.6401210917689415,0.5332770846490174,0.8647531718483186,0.06007179150931513,CLEAN,
DAT1.xlsx,9,102494,.xlsx,7.944503580464528,7.658517329517291,0.8172324837241222,0.9658516596093429,0.027728452397213495,CLEAN,
DAT.csv,7,263192,.csv,5.305621468490483,5.290138327530668,0.02410701680135338,0.19448919420043162,0.0,CLEAN,
DAT2.pptx,9,879653,.pptx,7.825822298460059,7.6374779918431415,0.5307355981594081,0.8636166761211523,0.05920516385438349,CLEAN,
docu2.docx,10,9926,.docx,6.870281268757231,6.7916888552521675,0.47272556563483953,0.7352407817852106,0.23181543421317752,CLEAN,
DAT3.csv,8,264670,.csv,5.3081474208477974,5.293225772048134,0.022856609679542957,0.1940643064948804,0.0,CLEAN,
DAT3.docx,9,255598,.docx,7.982719499484513,7.885029178668398,0.27196932597288936,0.9897182294071158,0.012766140580129735,CLEAN,
DAT2.csv,8,265335,.csv,5.305053300306983,5.289673717565528,0.02370080904269942,0.19344978988825448,0.0,CLEAN,
pict11.jpg,10,2765,.jpg,7.588605496491412,7.588605496491412,0.0,0.915370705244123,0.033273056057866186,CLEAN,
pict10.jpg,10,2748,.jpg,7.592853869823125,7.592853869823125,0.0,0.9155749636098981,0.03566229985443959,CLEAN,
pict12.jpg,10,2836,.jpg,7.608261867295065,7.608261867295065,0.0,0.918194640338505,0.03455571227080395,CLEAN,
DATA.xlsx,9,106668,.xlsx,7.944750754333069,7.68213514128085,0.7767306817085671,0.9663629204634943,0.027599655004312447,CLEAN,
DAT2.docx,9,256535,.docx,7.983830789042762,7.897216082627679,0.23360985397205686,0.9897207008790223,0.012325803496598904,CLEAN,
pict22.jpg,10,4238,.jpg,7.734673614799901,7.125248345757948,0.6042632862190702,0.9433695139216611,0.02241623407267579,CLEAN,
DAT3.pdf,8,248730,.pdf,7.906035370964039,7.598216870005626,1.0679227526847612,0.8901057371446951,0.003546013749849234,CLEAN,
im12.png,8,89254,.png,7.993159701913974,7.940694485312252,0.00967537712481138,1.0004033432675286,0.0050866067627221186,CLEAN,
DAT1.docx,9,266190,.docx,7.9839482295156134,7.901765357117301,0.22584912548096547,0.9893647394718058,0.011901273526428491,CLEAN,
DAT2.pdf,8,250650,.pdf,7.908992966498309,7.572816884268887,1.1066645616763806,0.8909435467783762,0.0034111310592459605,CLEAN,
pict21.jpg,10,4287,.jpg,7.737812748015142,7.275907437551649,0.451429067778335,0.9437835316071845,0.023792862141357594,CLEAN,
im11.png,8,89254,.png,7.993159701913974,7.940694485312252,0.00967537712481138,1.0004033432675286,0.0050866067627221186,CLEAN,
im10.png,8,89254,.png,7.993159701913974,7.940694485312252,0.00967537712481138,1.0004033432675286,0.0050866067627221186,CLEAN,
DAT1.pdf,8,250122,.pdf,7.9056188858568,7.5811951216676805,1.0664103701712846,0.8926124051462886,0.003322378679204548,CLEAN,
pict20.jpg,10,4238,.jpg,7.725637483219404,7.119906269970703,0.5989212104318256,0.9419537517697026,0.022652194431335537,CLEAN,
pict30.jpg,10,3850,.jpg,7.665160844677604,7.665160844677604,0.0,0.9337662337662338,0.03012987012987013,CLEAN,
pict31.jpg,10,3808,.jpg,7.658118176260728,7.658118176260728,0.0,0.9319852941176471,0.029936974789915968,CLEAN,
pict32.jpg,10,3902,.jpg,7.688839596131935,7.688839596131935,0.0,0.9349051768323936,0.02972834443874936,CLEAN,
DAT1.pptx,9,124567,.pptx,7.781241255941716,7.588402686469787,0.6302532357109185,0.8925798967623849,0.06579591705668436,CLEAN,
docu1.docx,10,9926,.docx,6.870281268757231,6.7916888552521675,0.47272556563483953,0.7352407817852106,0.23181543421317752,CLEAN,
DAT2.pdf.wk,11,223327,.wk,7.998940898579852,7.948198950609928,0.022694960359915094,0.9998164127042408,0.0034836808805025813,ENCRYPTED,0-Files
pict20.jpg.wk,13,4004,.wk,7.953943915755665,7.953943915755665,0.0,1.0027472527472527,0.004245754245754246,ENCRYPTED,0-Files
pict32.jpg.wk,13,3660,.wk,7.945326671355744,7.945326671355744,0.0,1.0030054644808744,0.005191256830601093,ENCRYPTED,0-Files
DAT2.pptx.wk,12,759695,.wk,7.997592631480461,7.950746262682804,0.0068959682405492296,1.0003172325735987,0.003490874627317542,ENCRYPTED,0-Files
DAT.csv.wk,10,51200,.wk,7.993312150988769,7.947775062076512,0.01532312567966036,1.0005078125,0.003125,ENCRYPTED,0-Files
DAT1.xlsx.wk,12,99006,.wk,7.997403043419497,7.939828663611308,0.06082150185918175,1.0004141163161828,0.003535139284487809,ENCRYPTED,0-Files
DATA.xlsx.wk,12,103092,.wk,7.997322581004788,7.939797940056007,0.0497489881109437,1.000397703022543,0.00385092926706243,ENCRYPTED,0-Files
DAT3.pptx.wk,12,1036634,.wk,7.997633321253678,7.948138446570378,0.04594711300395834,1.0003144793630152,0.0034727782418867217,ENCRYPTED,0-Files
im11.png.wk,11,89302,.wk,7.9930932356404805,7.940637169335665,0.010044075849200718,1.000403126469732,0.005229446149022418,ENCRYPTED,0-Files
pict30.jpg.wk,13,3607,.wk,7.94341143668105,7.94341143668105,0.0,1.0030496257277517,0.0049902966454117,ENCRYPTED,0-Files
